Symbol 1,Symbol 2,APR,SHARPE,price
CMCSA,CVX,-0.13980262021415357,-0.8059484059837962,-209.81526315789475
BLK,CVX,-0.1395658468992873,-0.854843291296239,-804.3392947368422
MA,PYPL,-0.13949071318206152,-0.5908766704000356,-419.5036842105263
CVX,DE,-0.13916455359873015,-0.8428932316356447,-509.0557894736842
LLY,PYPL,-0.13838757020289272,-0.47510971305891747,-383.4373684210526
PYPL,SO,-0.13799648787012486,-0.5052402626109355,-151.69210526315788
CVX,DIS,-0.13550895383180883,-0.7215985402739234,-270.19473684210527
ORCL,PYPL,-0.13513799397560744,-0.4833368367083843,-149.93736842105264
DUK,PYPL,-0.13304624044504376,-0.47314154641274797,-186.77263157894737
MMM,PYPL,-0.12924832669678932,-0.4804511629510763,-220.2005263157895
PG,PYPL,-0.12283728186326015,-0.4693549287745392,-221.61894736842106
AMZN,UNH,-0.12257088993058574,-0.71333701297312,-597.0994084210527
CVX,HON,-0.11980604417755536,-0.8146467720573886,-356.6284210526316
CSCO,PYPL,-0.11967515944716134,-0.4224688397519074,-124.34631578947369
PYPL,USB,-0.11695263199478256,-0.37683521542582704,-129.34578947368422
MCD,PYPL,-0.11647901479140399,-0.4714519678925493,-323.5338263157895
CVX,MDT,-0.11570367066431309,-0.7112799946154106,-261.06363415789474
SCHW,VRTX,-0.11430594866068111,-0.4675215159033602,-330.37105263157895
INTC,PYPL,-0.11413067128416388,-0.43105301656492756,-120.68631578947368
PYPL,UNP,-0.11392913508997715,-0.3999179851532526,-296.08076736842105
LIN,PYPL,-0.1132735926218571,-0.451128667956089,-393.4411042105263
ABT,PYPL,-0.11291618922951752,-0.4495610399504015,-190.66315789473686
PFE,QCOM,-0.11247557671141817,-0.4213517444866779,-184.20441684210525
BKNG,PYPL,-0.11223368716540849,-0.3360967453182991,-2206.2963157894737
C,PYPL,-0.11089951710481949,-0.35782909151235615,-129.67315789473685
PYPL,WFC,-0.10831552040990367,-0.3050652014369932,-121.92263157894737
CMCSA,PYPL,-0.10242063870872198,-0.3829812547622597,-121.46578947368421
AMZN,CVS,-0.09894487799484475,-0.46981015061454695,-207.5409736842105
MO,PYPL,-0.09650896373551654,-0.27659544710562384,-128.79492010526315
CRM,CVX,-0.09601147529900844,-0.31056279902341977,-341.5705263157895
ISRG,NFLX,-0.09508774409441212,-0.31830303353737327,-396.3752631578948
CVS,WMT,-0.09457422139191929,-0.7095402414815313,-216.69578947368421
AMZN,AVGO,-0.09434208284391443,-0.5949480517341513,-651.31719
CVX,INTU,-0.09421324967618128,-0.3675397886008964,-563.341052631579
NFLX,XOM,-0.09372663066720566,-0.2109444313236764,-282.96473684210525
T,UNH,-0.09332693974822148,-0.6779133864637811,-503.70159263157893
BLK,PFE,-0.09332543387095604,-0.552541526377187,-686.9092947368422
CMCSA,PFE,-0.09332316420949727,-0.497950291216505,-92.38526315789474
BLK,BMY,-0.09290180143734306,-0.7056449701082228,-711.2666631578949
CVX,GS,-0.09202866876553562,-0.5955927815368062,-471.7080721052632
CVX,MMM,-0.09127239650741514,-0.5509228656810915,-308.55000000000007
ACN,VRTX,-0.09051750454974095,-0.5095249501096737,-556.4047368421052
CVX,GOOG,-0.09015657013885825,-0.4666974539010592,-2415.812105263158
CVS,QCOM,-0.08688103426571891,-0.33365521879897825,-226.92441684210524
CVX,JPM,-0.08567164073242284,-0.5441312088937336,-291.20736842105265
AVGO,PYPL,-0.08543358079314578,-0.3533527489499045,-617.3925321052632
ADI,CVX,-0.08540675489427985,-0.4348951063773007,-325.64681368421054
CVX,SBUX,-0.08497679162426874,-0.40901747929596205,-244.07947368421054
ADP,NKE,-0.08477504168322392,-0.511993062034829,-327.7811002105263
CVX,GOOGL,-0.08411500424134377,-0.4318349330358389,-2408.7699999999995
NKE,UNH,-0.08397522033893023,-0.5157420530925568,-597.7982381052632
AAPL,CVX,-0.08396844548560611,-0.3285620855349586,-309.46000000000004
DIS,NOC,-0.08342347447607701,-0.410223952100855,-566.3415021052631
KO,NKE,-0.08286551263711617,-0.5164959941271913,-176.25652047368422
PYPL,SBUX,-0.08242333125876855,-0.30170388012809296,-155.73000000000002
NKE,PM,-0.08228150383814337,-0.4727551551876016,-217.33506652631576
MDT,PM,-0.08121826944957955,-0.6178087228893723,-195.44889731578945
AXP,QCOM,-0.08079894429188694,-0.26770602701537655,-289.7270484210526
PYPL,ZTS,-0.08069136563630352,-0.29774701076656934,-245.5236842105263
PYPL,TMUS,-0.07954997958284193,-0.2570164927204053,-212.1094736842105
JPM,PYPL,-0.07918044609841157,-0.23567532800535484,-202.8578947368421
ADI,PYPL,-0.07794166998936869,-0.2989378680067638,-237.29734000000002
CVX,GE,-0.07748999746092489,-0.3741583574897271,-240.71894736842108
BKNG,CVX,-0.07653354585592764,-0.32717593409650697,-2294.645789473684
AMZN,PYPL,-0.0763480908047337,-0.26905109227525914,-193.9015
CVX,NKE,-0.07600780983772892,-0.3256310853875996,-282.94980336842104
CVX,MA,-0.07598353724930662,-0.3601180501145174,-507.8531578947368
DIS,VRTX,-0.07580428453076826,-0.28612144802706874,-367.01052631578943
BAC,PYPL,-0.07554092713792915,-0.20160564900551492,-114.33107663157895
NKE,NOC,-0.07543606907788936,-0.3640469276794586,-579.0965686315789
UNH,ZTS,-0.07515472684508695,-0.631396478492893,-648.7215926315789
CAT,PYPL,-0.07461358833546772,-0.1720447287882982,-290.2884210526316
MSFT,PYPL,-0.0738498110252701,-0.2949375421570493,-340.74263157894734
PM,WMT,-0.07365725897632658,-0.5287507387034053,-225.79105263157894
PG,UNH,-0.07360609443288368,-0.7030961785126786,-624.8168557894737
CVX,NFLX,-0.07357104076451038,-0.1673667288578893,-355.3384210526316
CME,DIS,-0.07347543239179033,-0.40998904893190674,-302.87760421052633
NOW,PYPL,-0.07319192811849007,-0.27479347565317425,-551.7352631578948
PYPL,TXN,-0.07306089026052331,-0.2808064593539109,-242.98684210526312
BAC,CVX,-0.07271263140650452,-0.4458512536534578,-202.6805503157895
ANTM,BLK,-0.07237214191358488,-0.4766963731972363,-1118.5982557894738
HON,PYPL,-0.07215590685085915,-0.2278591286950027,-268.2789473684211
BLK,NOC,-0.07158966429012725,-0.41583743993847994,-1100.4860600000002
