Symbol 1,Symbol 2,APR,SHARPE,price
ABT,AMAT,0.4777483236789275,2.3902863199714774,-216.0963157894737
CMCSA,INTC,0.23513224684866874,1.4949602868459277,-82.17526315789473
CRM,INTU,0.4727914851643711,2.735433781943207,-568.2357894736842
AMAT,VZ,0.42783372578955947,2.0254135686342774,-156.08894736842106
NEE,TSLA,0.6433173303702908,2.1455646763189566,-783.0373873684212
MS,TSLA,0.7310492984965089,2.1215250723058707,-787.3878947368422
AMAT,MO,0.4274120506905241,1.9543357489831512,-154.228078
BAC,INTC,0.16662500335671404,0.9527546909542144,-75.04055031578947
INTC,T,0.1279507052834734,0.8312835418287414,-61.21315789473684
NEE,PEP,0.2788935108346089,2.708057070552066,-238.8393410526316
INTC,TSLA,0.5263017221890285,1.6908097586831294,-748.0921052631579
AMZN,VZ,0.40375045625362427,2.357477450755334,-164.58044736842106
AMZN,MRK,0.42148823550034,2.2917361644762466,-202.20492421052631
COP,ORCL,0.4474118344742346,1.9198405771818412,-180.22526315789474
CSCO,T,0.11831522767581437,0.9478149633132599,-64.87315789473683
CSCO,USB,0.39525228625517217,2.6554695419399064,-93.71526315789474
AMAT,T,0.40945555788084187,1.8652527072407563,-125.93684210526317
AMGN,COP,0.522285734951943,2.4863663471716078,-353.92947368421056
CSCO,WFC,0.30183172968461136,1.75930949960351,-86.2921052631579
AMZN,DUK,0.5012068493559649,2.6706095594513353,-220.69728947368424
COP,INTC,0.47722261157000156,1.8974697024615874,-150.9742105263158
BAC,COP,0.40671448887998674,2.229192216454067,-144.61897136842106
AMAT,MDT,0.47834980200977206,2.143681404366324,-198.14731836842105
BAC,T,0.023581066669581263,0.23553512159244552,-54.85791873684211
BLK,SBUX,0.3230742853747872,2.9016395680544824,-711.7429789473686
LIN,MCD,0.2565305032103824,2.718585100954409,-556.9980884210527
INTC,MO,0.31934146895676796,1.6865845400234882,-89.50439378947368
MO,T,0.1643828718547906,1.4872704972908501,-69.32176221052632
MSFT,TSLA,0.7414394837111267,2.4874356692922466,-968.1484210526316
AMZN,SPGI,0.436531680255829,2.682925995850452,-447.6272894736842
